szemaz	nev
299	Fejes Sándor
300	Fejes Tóth László
301	Fekete Lajos
302	Feledy Gyula
303	Feleki Kamill
304	Feleki Sári
305	Ferencsik János
306	Ferencz István
307	Ferenczfy Kovács Attila
308	Ferenczi Ödön
309	Ferenczy Béni
310	Ferenczy Noémi
311	Fernbach Antal
312	Feuer Klára
313	Finta József
1409	Fischer Ádám
314	Fischer Annie
315	Fischer Iván
316	Fodor András
317	Fodor Gábor Béla
318	Fodor János
319	Fodor József
320	Fodróczi Lajos
321	Fogarasi Béla
322	Fogarasi János
323	Foltin Jolán
324	Fonó Albert
326	Fónyi Géza
325	Forgó László
327	Földes Pál
328	Földessy Gyula
329	Földi Zoltán
330	Földvári Aladár
331	Földvári Jenő
332	Frank László
333	Freud Géza
334	Freund Mihály
335	Fried Henrik
336	Fuchs László
337	Fülep Lajos
338	Fülöp Mihály
339	Fülöp Viktor
340	Fülöp Zoltán
341	Füst Milán
342	Gaál István
351	Gábor Andor
352	Gábor Miklós
353	Gábor Sándorné
354	Gádor István
343	Gagyi-Pálffy András
355	Gál Endre
356	Gál István
344	Galambos Erzsi
1387	Gálffi László
345	Galgóczi Erzsébet
357	Gáll István
346	Gallai Tibor
358	Gálvölgyi János
347	Garai Gábor
348	Garai József
349	Garas Dezső
359	Gáspár Margit
350	Gazda Géza
375	Géczy Gyula
360	Gegesi Kiss Pál
361	Geleji Sándor
362	Gellért Endre
363	Gellért Oszkár
376	Gémes Ferenc
364	Gerber Károly
365	Gerecs Árpád
366	Gerendás Mihály
367	Gerevich László
368	Gergely Ágnes
369	Gergely Ferenc
370	Gergely Sándor
371	Gerlei Ferenc
372	Gerlóczi Lajosné
373	Gerő Ernő
374	Gertler Viktor
377	Gillemot László
378	Gilyén Jenő
379	Glatz Oszkár
380	Gnädig Béla
381	Gnädig Miklós
382	Gobbi Hilda
383	Goda Gábor
384	Gombás Pál
385	Gond Ferenc
386	Gorka Géza
387	Gorup Ferenc
388	Gothár Péter
389	Gózon Gyula
390	Gömöri Pál
391	Gönye Lajos
392	Görbe János
393	Görgey Gábor
394	Görömbei András
395	Gregor József
396	Greguss Pálid.
397	Grendel Lajos
398	Gross Arnold
399	Grunwalsky Ferenc
400	Gryllus Dániel
401	Gryllus Vilmos
1388	Gulyás Gyula
402	Gulyás Lajos
403	Guszmann József
404	Gyárfás József
405	Gyarmathy Lívia
406	Gyarmathy Tihamér
407	Gyöngyösi Károly
408	Győrffy Barna
409	György Júlia
410	Gyulai Líviusz
411	Gyulai Zoltán
412	Gyurkó István
413	Gyurkó László
414	Gyurkovics Mária
415	Gyurkovics Tibor
416	Gyükér Barna
441	Hágai Katalin
417	Hager Ritta
418	Hajnóczi Gyula
419	Hajós György
420	Halász András
421	Halász Judit
422	Hall József
423	Halmágyi Tibor
424	Hamar Dániel István
425	Hammer Jakab
442	Hámos György
426	Hamvas Béla
427	Hanzó Lajos
428	Harangozó Gyula
429	Haraszti István
430	Haraszty István
431	Hargitai Géza
432	Harrer Antal
433	Hartai Rudolf
434	Határ Győző
435	Hatvany Lajos
436	Haumann Péter
437	Havas András
438	Havas Ferenc
443	Háy Gyula
439	Haynal Imre
