szemaz	nev
1244	Tokody Ilona
1245	Toldi István
1404	Tolnai Ottó
1246	Tolnay Klári
1247	Tomor János
1248	Tompa Sándor
1249	Tordai Zádor
1250	Tordy Géza
1252	Tóth Aladár
1253	Tóth András
1254	Tóth Antal
1255	Tóth Béla
1256	Tóth Imre
1257	Tóth János
1258	Tóth János
1259	Tóth László
1260	Tóth Menyhért
1261	Tóth Mihály
1262	Tóth Zoltán
1269	Tőke János
1270	Tőkés Anna
1263	Tömörkényi László
1264	Törő Imre
1265	Törőcsik Mari
1266	Török Ferenc
1267	Török Gábor
1268	Török Tibor
1271	Tőzsér Árpád
1272	Turán Pál
1273	Turóczi-Trostler József
1274	Tury Pál
1275	Tyczynsky Zsigmond
1276	Ubrizsy Gábor
1277	Udvardi Erzsébet
1278	Udvaros Dorottya
1279	Uhrik Teodóra
1280	Ujfalussy József
1288	Újhelyi Károly
1281	Ungár Imre
1282	Ungvári Lajos
1283	Ungvári László
1284	Uray Tivadar
1285	Urbán Ernő
1286	Urbanek János
1287	Ursitz József
1424	Utassy József
1300	Váci Mihály
1315	Váczi Zoltán
1289	Vad Imre
1290	Vadász Elemér
1291	Vadász György
1292	Vágó György
1314	Vágó Nelly
1293	Vajda László
1294	Vajda László
1295	Vajta László
1296	Vajta Miklós
1297	Valkó Márton
1298	Valló Péter
1299	Valter Imre
1318	Vámos Ferenc
1319	Vámos György
1320	Vámos László
1301	Vankó Richárd
1302	Vanyur János
1321	Váradi Hédi
1303	Varga Balázs
1304	Varga Bálint
1305	Varga Barnabás
1306	Varga Domokos
1307	Varga Imre
1308	Varga József
1309	Varga Lajos
1425	Varga Levente
1310	Varga Mátyás
1311	Varga Ottó
1312	Vargha László
1322	Várkonyi Zoltán
1313	Vas István
1323	Vásárhelyi Boldizsár
1324	Vásárhelyi Zoltán
1325	Vásáry Tamás
1316	Vass László
1317	Vaszil László
1326	Vecsei Géza
1327	Vedres Márk
1328	Vendel Miklós
1329	Vendl Aladár
1330	Verebély László
1331	Veres Péter
1332	Veress Sándor
1333	Veress Zoltán
1334	Vermes Miklós
1335	Verő József
1336	Vészi Endre
1345	Vígh Tamás
1337	Vilmon Gyula
1338	Vilt Tibor
1339	Vincze Gábor
1340	Vincze Mihály
1341	Viski János
1342	Viski János
1343	Vitális Sándor
1344	Vitray Tamás
1346	Vlaszaty Ádámné
1347	Volf Katalin
1348	Vörös Imre
1349	Vrbovszki János
1350	Weichinger Károly
1351	Weil Emil
1352	Weiner Leó
1353	Went István
1354	Weöres Sándor
1355	Westsik Vilmos
1356	Wilhelmb Tibor
1357	Willoner Gedeon
1358	Winkler Dezső
1359	Winter Ernő
1360	Wix György
1365	Zádor Anna
1366	Zádor István
1361	Zalaváry Lajos
1362	Zalay Ernő
1363	Zambó János
1367	Zámbó Pál
1364	Zathureczky Ede
1368	Závada Pál
1369	Zelk Zoltán
1370	Zempléni Géza
1371	Zenthe Ferenc
1372	Zilahy Márton
1373	Zimmermann Ágoston
1374	Zólyomi Bálint
1375	Zorkóczy Béla
1376	Zsámbéki Gábor
1377	Zsebők Zoltán
1378	Zsédely József
1379	Zsidai János
1380	Zsigmond András
1381	Zsigmond László
1382	Zsirai Miklós
1383	Zsótér Sándor
1384	Zsurzs Éva
